,,,,,,,,,
March-2024,Scheme Name,"No. of
Schemes
as on
March,
2024","No. of Folios
as on March,
2024","Funds
Mobilized
for the
month of
March 2024
(INR in
crore)","Repurchase/
Redemption
for the
month of
March 2024
(INR in
crore)","Net Assets
Under
Managemen
t as on
March, 2024
(INR in
crore)","Average Net
Assets Under
Managemen
t for the
month
March 2024
(INR in
crore)","No. of
segregat
ed
portfolio
s
created
as on
March,
2024","Net
Assets
Under
Manage
ment in
segregat
ed
portfoli
o as on
March,
2024
(INR in
crore)"
July-2022,Income/Debt Oriented Schemes,-,-,-,-,-,-,-,-
July-2022,Overnight Fund,3 0,"6 ,14,247","4 ,62,219.10","4 ,42,300.44","1 ,23,409.85","1 ,36,240.23",-,-
July-2022,Liquid Fund,3 7,"1 7,51,686","2 ,56,150.90","2 ,63,843.55","3 ,58,401.53","4 ,21,458.65",-,-
July-2022,Ultra Short Duration Fund,2 6,"6 ,16,009","1 7,689.89","1 3,961.87","9 0,773.57","9 0,400.83",-,-
July-2022,Low Duration Fund,2 2,"1 0,04,139","1 0,246.51","1 0,892.10","9 9,305.03","1 ,02,401.04",1,-
July-2022,Money Market Fund,2 0,"4 ,16,108","2 6,382.69","2 3,743.94","1 ,11,688.71","1 ,14,410.65",-,-
July-2022,Short Duration Fund,2 5,"5 ,40,403",9 50.46,"2 ,822.38","9 5,152.93","9 6,182.11",-,-
July-2022,Medium Duration Fund,1 6,"2 ,65,574",1 77.70,7 23.31,"2 8,838.47","2 8,900.16",4,1 30.54
July-2022,Medium to Long Duration Fund,1 3,"1 ,13,099",6 1.61,2 25.95,"9 ,043.78","9 ,053.68",-,-
July-2022,Long Duration Fund,2,"2 3,848",4 5.20,1 2.42,"2 ,570.32","2 ,546.77",-,-
July-2022,Dynamic Bond Fund,2 5,"2 ,23,827",2 72.18,3 63.37,"2 1,846.88","2 1,774.91",1,5 0.06
July-2022,Corporate Bond Fund,2 1,"6 ,34,713",6 37.87,"3 ,220.09","1 ,13,857.28","1 ,14,908.05",-,-
July-2022,Credit Risk Fund,1 5,"2 ,62,757",1 69.09,3 81.78,"2 6,192.42","2 6,217.59",4,6 6.33
